S,D1,D2,D3,D4,D5,D6,D7,C
R,18.32,0,0,4.51,12.8,12.07,6.01,N
R,269.52,0,0,0,20.26,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,22.82,0,0,0,0.29,N
F,0,0,0,7.5,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,1.58,0,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,115.23,0,100.68,0,0,N
R,0,0,0,112.02,1076.51,0,0,N
R,1.52,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,3.75,7.5,3.75,N
R,0,0,2,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,278.89,137.29,N
PF,0,0,0,0,839.94,0,0,N
R,541.09,284.83,85.28,1184.48,497.75,238.78,1511.36,N
R,13054.35,256.31,2476.32,2527.86,4382.56,992.41,996.51,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,508.9,558.81,212.82,89.67,5170.9,77.63,0.4,N
R,162.84,289.13,231.25,146.83,76.64,127.48,17.15,N
R,0,0,0,0,0,0,0,Y
R,2385.43,0,0,0,2.83,7.49,0,N
R,0,87.74,0,0,0,0,65.46,N
R,0,0,0,0,0,0,0,Y
R,136.48,52.5,151.25,67.5,74.98,93.75,138.75,N
R,60.12,14.29,54,33.3,28.15,27.62,22.52,N
R,0,0,0,0,0,0,0,Y
R,5740.47,7751.33,3284.26,5843.28,6928.69,3259.71,2655.75,N
R,20.51,0,17.9,44.33,0,31.99,0,N
R,0,0,0,0,0,0,0,Y
R,142.02,0,16.68,15.5,0,0,184.42,N
R,0,0,0,0,0,0,0,Y
R,11,17.19,22.72,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,1458.27,11231.47,1747.14,280.76,675.11,71.95,0,N
R,0,987.92,2289.09,102.28,223.38,45.71,311.71,N
R,0,0,0,0,0,0,0,Y
R,9,10.74,0,0,0,0,0,N
R,0,0,0,2.46,292.67,728.71,753.68,N
R,0,0,0,0,0,0,0,Y
F,36.28,5.04,72.67,124.62,108.11,28.29,0.18,N
R,110.6,100.1,67.73,32.06,187.13,102.22,72.29,N
R,0,0,0,0,0,0,0,Y
R,136.19,0,230.54,15.59,99.82,134.93,25.27,N
R,0,0,0,0,0,0,0,Y
R,0,15.77,66.5,132.58,960.56,298.51,210.29,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
R,0.86,3.11,1.71,1.07,0.8,1.22,0,N
R,0,0,483.23,0,888.55,9271.71,21370.58,N
R,299.8,239.82,299.73,134.89,97.43,75.3,59.96,N
R,0,0,0,165.67,209.84,71.21,113.93,N
R,2.16,2.21,1.37,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,47.63,189.74,0,7.51,78.12,94.29,158.87,N
R,0,0,0,0,0,0,0,Y
R,0,0,90.15,1148.3,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,124.79,141.49,41.83,181.17,261.28,349.89,N
R,0,0,0,0,0,0,0,Y
R,337.15,155.4,150.59,0,462.1,186.6,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,1756.89,443.51,0,10129.96,16800.67,N
R,0,0,0,0,0,0,0,Y
R,0,1.29,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,223.06,1.5,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,85.96,139.63,68.62,0,122.55,18.04,33.44,N
R,58.53,0,0,0,49.86,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,271.77,221.76,589.94,486.61,53.11,53.21,0,N
R,0,33.9,17.67,3.93,0,0,0,N
R,0,11735.58,1676.82,89.11,1736.37,4723.92,133.81,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
